Week,Behinderung
2020-03-01,64
2020-03-08,51
2020-03-15,45
2020-03-22,46
2020-03-29,32
2020-04-05,49
2020-04-12,35
2020-04-19,69
2020-04-26,61
2020-05-03,70
2020-05-10,85
2020-05-17,74
2020-05-24,59
2020-05-31,45
2020-06-07,65
2020-06-14,53
2020-06-21,73
2020-06-28,50
2020-07-05,73
2020-07-12,68
2020-07-19,64
2020-07-26,72
2020-08-02,54
2020-08-09,73
2020-08-16,81
2020-08-23,54
2020-08-30,48
2020-09-06,51
2020-09-13,55
2020-09-20,37
2020-09-27,64
2020-10-04,48
2020-10-11,70
2020-10-18,65
2020-10-25,45
2020-11-01,69
2020-11-08,80
2020-11-15,53
2020-11-22,59
2020-11-29,100
2020-12-06,56
2020-12-13,35
2020-12-20,34
2020-12-27,52
2021-01-03,58
2021-01-10,69
2021-01-17,77
2021-01-24,79
2021-01-31,79
2021-02-07,35
2021-02-14,66
2021-02-21,73
2021-02-28,80
