Week,Beschäftigte:
2020-03-01,46
2020-03-08,100
2020-03-15,85
2020-03-22,92
2020-03-29,56
2020-04-05,61
2020-04-12,74
2020-04-19,43
2020-04-26,77
2020-05-03,50
2020-05-10,50
2020-05-17,53
2020-05-24,52
2020-05-31,64
2020-06-07,59
2020-06-14,22
2020-06-21,93
2020-06-28,52
2020-07-05,24
2020-07-12,26
2020-07-19,60
2020-07-26,59
2020-08-02,8
2020-08-09,23
2020-08-16,8
2020-08-23,56
2020-08-30,64
2020-09-06,65
2020-09-13,48
2020-09-20,73
2020-09-27,32
2020-10-04,48
2020-10-11,59
2020-10-18,17
2020-10-25,57
2020-11-01,66
2020-11-08,24
2020-11-15,71
2020-11-22,62
2020-11-29,55
2020-12-06,70
2020-12-13,23
2020-12-20,35
2020-12-27,17
2021-01-03,47
2021-01-10,75
2021-01-17,74
2021-01-24,51
2021-01-31,66
2021-02-07,38
2021-02-14,46
2021-02-21,16
2021-02-28,91
