Week,Coronaschutzverordnung:
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,2
2020-03-29,3
2020-04-05,4
2020-04-12,8
2020-04-19,6
2020-04-26,13
2020-05-03,26
2020-05-10,28
2020-05-17,23
2020-05-24,27
2020-05-31,17
2020-06-07,21
2020-06-14,23
2020-06-21,16
2020-06-28,26
2020-07-05,26
2020-07-12,17
2020-07-19,14
2020-07-26,16
2020-08-02,18
2020-08-09,38
2020-08-16,15
2020-08-23,23
2020-08-30,34
2020-09-06,8
2020-09-13,17
2020-09-20,13
2020-09-27,26
2020-10-04,19
2020-10-11,44
2020-10-18,55
2020-10-25,89
2020-11-01,43
2020-11-08,19
2020-11-15,13
2020-11-22,27
2020-11-29,64
2020-12-06,20
2020-12-13,95
2020-12-20,16
2020-12-27,16
2021-01-03,100
2021-01-10,33
2021-01-17,51
2021-01-24,33
2021-01-31,16
2021-02-07,32
2021-02-14,28
2021-02-21,20
2021-02-28,45
