Week,Coronavirus:
2020-03-01,57
2020-03-08,91
2020-03-15,100
2020-03-22,72
2020-03-29,60
2020-04-05,56
2020-04-12,48
2020-04-19,33
2020-04-26,28
2020-05-03,27
2020-05-10,23
2020-05-17,16
2020-05-24,12
2020-05-31,11
2020-06-07,10
2020-06-14,10
2020-06-21,12
2020-06-28,9
2020-07-05,9
2020-07-12,8
2020-07-19,8
2020-07-26,9
2020-08-02,13
2020-08-09,9
2020-08-16,9
2020-08-23,8
2020-08-30,7
2020-09-06,6
2020-09-13,6
2020-09-20,7
2020-09-27,7
2020-10-04,9
2020-10-11,12
2020-10-18,12
2020-10-25,14
2020-11-01,9
2020-11-08,9
2020-11-15,8
2020-11-22,7
2020-11-29,6
2020-12-06,8
2020-12-13,8
2020-12-20,9
2020-12-27,8
2021-01-03,8
2021-01-10,7
2021-01-17,7
2021-01-24,6
2021-01-31,6
2021-02-07,6
2021-02-14,5
2021-02-21,5
2021-02-28,6
