Week,Laufbahngruppe:
2020-03-01,16
2020-03-08,30
2020-03-15,0
2020-03-22,45
2020-03-29,15
2020-04-05,33
2020-04-12,31
2020-04-19,15
2020-04-26,30
2020-05-03,46
2020-05-10,46
2020-05-17,16
2020-05-24,46
2020-05-31,15
2020-06-07,16
2020-06-14,15
2020-06-21,0
2020-06-28,49
2020-07-05,34
2020-07-12,36
2020-07-19,37
2020-07-26,18
2020-08-02,0
2020-08-09,33
2020-08-16,34
2020-08-23,34
2020-08-30,34
2020-09-06,35
2020-09-13,0
2020-09-20,52
2020-09-27,17
2020-10-04,0
2020-10-11,55
2020-10-18,35
2020-10-25,17
2020-11-01,0
2020-11-08,34
2020-11-15,17
2020-11-22,33
2020-11-29,33
2020-12-06,50
2020-12-13,49
2020-12-20,19
2020-12-27,0
2021-01-03,0
2021-01-10,16
2021-01-17,31
2021-01-24,31
2021-01-31,16
2021-02-07,16
2021-02-14,33
2021-02-21,100
2021-02-28,64
