Week,Nutzung:
2020-03-01,57
2020-03-08,33
2020-03-15,48
2020-03-22,94
2020-03-29,100
2020-04-05,27
2020-04-12,66
2020-04-19,57
2020-04-26,70
2020-05-03,72
2020-05-10,89
2020-05-17,65
2020-05-24,55
2020-05-31,41
2020-06-07,48
2020-06-14,49
2020-06-21,47
2020-06-28,64
2020-07-05,55
2020-07-12,77
2020-07-19,46
2020-07-26,51
2020-08-02,59
2020-08-09,53
2020-08-16,29
2020-08-23,60
2020-08-30,55
2020-09-06,70
2020-09-13,60
2020-09-20,61
2020-09-27,51
2020-10-04,46
2020-10-11,39
2020-10-18,60
2020-10-25,61
2020-11-01,60
2020-11-08,39
2020-11-15,76
2020-11-22,66
2020-11-29,56
2020-12-06,67
2020-12-13,38
2020-12-20,54
2020-12-27,27
2021-01-03,44
2021-01-10,67
2021-01-17,79
2021-01-24,79
2021-01-31,68
2021-02-07,91
2021-02-14,85
2021-02-21,81
2021-02-28,65
