Week,Robert Koch-Institut:
2020-03-01,0
2020-03-08,27
2020-03-15,27
2020-03-22,27
2020-03-29,13
2020-04-05,14
2020-04-12,14
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,13
2020-05-17,0
2020-05-24,0
2020-05-31,13
2020-06-07,0
2020-06-14,14
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,31
2020-08-09,0
2020-08-16,15
2020-08-23,0
2020-08-30,15
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,16
2020-10-18,32
2020-10-25,31
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,15
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,15
2021-01-10,14
2021-01-17,14
2021-01-24,42
2021-01-31,42
2021-02-07,15
2021-02-14,15
2021-02-21,44
2021-02-28,100
