Week,SARS-CoV-2:
2020-03-01,69
2020-03-08,40
2020-03-15,79
2020-03-22,54
2020-03-29,19
2020-04-05,43
2020-04-12,26
2020-04-19,25
2020-04-26,15
2020-05-03,10
2020-05-10,35
2020-05-17,26
2020-05-24,10
2020-05-31,5
2020-06-07,0
2020-06-14,15
2020-06-21,16
2020-06-28,5
2020-07-05,0
2020-07-12,18
2020-07-19,12
2020-07-26,6
2020-08-02,23
2020-08-09,22
2020-08-16,22
2020-08-23,11
2020-08-30,6
2020-09-06,17
2020-09-13,6
2020-09-20,17
2020-09-27,11
2020-10-04,33
2020-10-11,30
2020-10-18,58
2020-10-25,39
2020-11-01,46
2020-11-08,33
2020-11-15,38
2020-11-22,27
2020-11-29,22
2020-12-06,38
2020-12-13,21
2020-12-20,6
2020-12-27,23
2021-01-03,32
2021-01-10,67
2021-01-17,26
2021-01-24,31
2021-01-31,26
2021-02-07,43
2021-02-14,32
2021-02-21,65
2021-02-28,100
