Week,Schutzmaßnahmen:
2020-03-01,23
2020-03-08,36
2020-03-15,72
2020-03-22,100
2020-03-29,7
2020-04-05,31
2020-04-12,60
2020-04-19,58
2020-04-26,85
2020-05-03,29
2020-05-10,22
2020-05-17,46
2020-05-24,30
2020-05-31,29
2020-06-07,22
2020-06-14,22
2020-06-21,16
2020-06-28,15
2020-07-05,16
2020-07-12,9
2020-07-19,0
2020-07-26,0
2020-08-02,50
2020-08-09,16
2020-08-16,8
2020-08-23,32
2020-08-30,41
2020-09-06,8
2020-09-13,24
2020-09-20,24
2020-09-27,8
2020-10-04,49
2020-10-11,17
2020-10-18,25
2020-10-25,99
2020-11-01,15
2020-11-08,16
2020-11-15,40
2020-11-22,39
2020-11-29,24
2020-12-06,31
2020-12-13,39
2020-12-20,27
2020-12-27,9
2021-01-03,24
2021-01-10,23
2021-01-17,22
2021-01-24,60
2021-01-31,30
2021-02-07,23
2021-02-14,0
2021-02-21,48
2021-02-28,8
