Week,Teilnehmern:
2020-03-01,18
2020-03-08,17
2020-03-15,67
2020-03-22,100
2020-03-29,83
2020-04-05,0
2020-04-12,35
2020-04-19,0
2020-04-26,0
2020-05-03,17
2020-05-10,0
2020-05-17,0
2020-05-24,17
2020-05-31,0
2020-06-07,17
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,20
2020-08-09,0
2020-08-16,19
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,19
2020-09-20,0
2020-09-27,0
2020-10-04,19
2020-10-11,20
2020-10-18,20
2020-10-25,0
2020-11-01,17
2020-11-08,0
2020-11-15,0
2020-11-22,36
2020-11-29,19
2020-12-06,0
2020-12-13,0
2020-12-20,42
2020-12-27,20
2021-01-03,18
2021-01-10,35
2021-01-17,35
2021-01-24,17
2021-01-31,0
2021-02-07,18
2021-02-14,36
2021-02-21,18
2021-02-28,36
