Week,Testpflicht:
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,62
2020-08-02,100
2020-08-09,43
2020-08-16,45
2020-08-23,67
2020-08-30,22
2020-09-06,0
2020-09-13,45
2020-09-20,37
2020-09-27,22
2020-10-04,30
2020-10-11,16
2020-10-18,23
2020-10-25,15
2020-11-01,14
2020-11-08,7
2020-11-15,0
2020-11-22,0
2020-11-29,15
2020-12-06,36
2020-12-13,21
2020-12-20,91
2020-12-27,47
2021-01-03,29
2021-01-10,0
2021-01-17,27
2021-01-24,14
2021-01-31,7
2021-02-07,0
2021-02-14,0
2021-02-21,7
2021-02-28,56
