Week,Verpflichtungen:
2020-03-01,0
2020-03-08,20
2020-03-15,0
2020-03-22,20
2020-03-29,0
2020-04-05,43
2020-04-12,0
2020-04-19,20
2020-04-26,39
2020-05-03,40
2020-05-10,100
2020-05-17,21
2020-05-24,21
2020-05-31,0
2020-06-07,0
2020-06-14,20
2020-06-21,43
2020-06-28,0
2020-07-05,0
2020-07-12,24
2020-07-19,24
2020-07-26,24
2020-08-02,46
2020-08-09,22
2020-08-16,22
2020-08-23,22
2020-08-30,68
2020-09-06,23
2020-09-13,23
2020-09-20,45
2020-09-27,0
2020-10-04,0
2020-10-11,24
2020-10-18,23
2020-10-25,23
2020-11-01,21
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,43
2020-12-13,21
2020-12-20,50
2020-12-27,0
2021-01-03,22
2021-01-10,0
2021-01-17,21
2021-01-24,0
2021-01-31,41
2021-02-07,22
2021-02-14,22
2021-02-21,0
2021-02-28,0
