Week,geändert:
2020-03-01,53
2020-03-08,36
2020-03-15,37
2020-03-22,68
2020-03-29,54
2020-04-05,44
2020-04-12,51
2020-04-19,82
2020-04-26,45
2020-05-03,64
2020-05-10,23
2020-05-17,95
2020-05-24,51
2020-05-31,59
2020-06-07,56
2020-06-14,64
2020-06-21,29
2020-06-28,48
2020-07-05,66
2020-07-12,32
2020-07-19,60
2020-07-26,27
2020-08-02,11
2020-08-09,44
2020-08-16,46
2020-08-23,51
2020-08-30,55
2020-09-06,37
2020-09-13,26
2020-09-20,31
2020-09-27,45
2020-10-04,46
2020-10-11,44
2020-10-18,100
2020-10-25,41
2020-11-01,19
2020-11-08,41
2020-11-15,55
2020-11-22,44
2020-11-29,20
2020-12-06,55
2020-12-13,49
2020-12-20,56
2020-12-27,75
2021-01-03,39
2021-01-10,24
2021-01-17,71
2021-01-24,42
2021-01-31,75
2021-02-07,74
2021-02-14,34
2021-02-21,50
2021-02-28,77
